"","title","artist","year","id","lang"
"398","I Will Always Love You","Dolly Parton",1982,"207980","en"
"399","Still In The Game","Steve Winwood",1982,"1109179","en"
"400","How You Remind Me","Nickelback",2002,"196442","en"
"401","U Got It Bad","Usher",2002,"2196","en"
"402","Family Affair","Mary J. Blige",2002,"468201","en"
"403","Get The Party Started","P!nk",2002,"195076","en"
"404","Hero","Enrique Iglesias",2002,"110014","en"
"405","Always On Time","Ja Rule ",2002,"23929","en"
"406","My Sacrifice","Creed",2002,"397439","en"
"407","Whenever, Wherever","Shakira",2002,"128054","en"
"408","A Woman's Worth","Alicia Keys",2002,"601412","en"
"409","Differences","Ginuwine",2002,"307105","en"
"410","Wherever You Will Go","The Calling",2002,"310472","en"
"411","Livin' It Up","Ja Rule ",2002,"23932","en"
"412","Gone","'N Sync",2002,"436280","en"
"413","Superman (It's Not Easy)","Five For Fighting",2002,"472515","en"
"414","In The End","Linkin Park",2002,"49719","en"
"415","Turn Off The Light","Nelly Furtado",2002,"912255","en"
"416","Butterflies","Michael Jackson",2002,"137433","en"
"417","Rock The Boat","Aaliyah",2002,"52261","en"
"418","Fallin'","Alicia Keys",2002,"344010","en"
"419","Hey Baby","No Doubt ",2002,"141936","en"
"420","We Thuggin'","Fat Joe ",2002,"19720","en"
"421","Caramel","City High ",2002,"5565970","en"
"422","Only Time","Enya",2002,"77504","en"
"423","I Do!!","Toya",2002,"724623","en"
"424","#1","Nelly",2002,"35295","en"
"425","I'm Real","Jennifer Lopez ",2002,"32439","en"
"426","Where The Stars And Stripes And The Eagle Fly","Aaron Tippin",2002,"753500","en"
"427","It's Been Awhile","Staind",2002,"204430","en"
"428","Drops Of Jupiter (Tell Me)","Train",2002,"2831404","en"
"429","7 Days","Craig David",2002,"110040","en"
"430","Where Were You (When The World Stopped Turning)","Alan Jackson",2002,"426587","en"
"431","Roll Out (My Business)","Ludacris",2002,"2291","en"
"432","Standing Still","Jewel",2002,"1634750","en"
"433","Lights, Camera, Action!","Mr. Cheeks",2002,"33993","en"
